"id","user_id","event_id","title","description","tag","photo_path"
"aefad6b2-51fe-4f66-81aa-206d777a92d2","e79a5f00-9faa-4445-a54b-c4e17d77836b","","","","","./testPhotos/test2.jpg"
"04fcb1f2-d87c-4955-8b6a-d123e202f536","739fecfd-4c11-4263-b31c-e4f99c06102c","","","","","./testPhotos/test2.jpg"
"95e3d923-eaf3-43f2-9b84-8ca0df71937c","4b7da753-4646-4586-aed6-8d16dac73f6b","","","","","./testPhotos/test2.jpg"
"89e209df-2b86-47f5-9593-c3443d7a5d6c","9f6e0504-4022-4ede-bb03-d3839c7d144c","","","","","./testPhotos/test2.jpg"
"87719821-31cf-4ca3-948b-0e5dcbcc81d4","e9249ea7-e270-4a4d-bff2-e0caef324ea6","","","","","./testPhotos/test2.jpg"
"a4697385-79a8-4622-8d7f-ed596567b636","5720e5d6-9d70-4342-be6b-aad4fb5b2eb8","","","","","./testPhotos/test2.jpg"
"1fbd0313-dce4-447d-99a0-ed18cca5d335","ae496674-38b2-466f-85e0-bc65bd73a17c","","test_photo","","","./testPhotos/test2.jpg"
"d28a749c-7211-48f7-a73d-9627b26c399b","dd8c9b5d-087f-4e50-957f-683ae029be9e","","","","","./testPhotos/test2.jpg"
"c6a3a805-a913-4aea-817a-c5df7d8664ec","c43926f3-82fb-4c5b-9f01-96858f265a7a","","","","","./testPhotos/test2.jpg"
"9602f935-72f4-4631-bf96-097148254de4","5400ac69-025d-4ac7-bc89-608d86ca404a","","","","","./testPhotos/test2.jpg"
